default,checking_balance,months_loan_duration,credit_history,purpose_furn,purpose_car,purpose_reno,purpose_edu,purpose_bus,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,otherCreditBank,otherCreditStore,existing_loans_count,job,dependents
no,2,6,1,0,2,0,0,0,250,5,3,2,2,41,1,0,2,2,1
no,2,9,3,0,2,0,0,0,276,2,3,4,4,22,0,0,1,2,1
no,2,6,1,1,0,0,0,0,338,4,5,4,4,52,0,0,2,3,1
no,1,12,4,0,0,0,1,0,339,2,5,4,1,45,1,0,1,2,1
no,1,6,3,1,0,0,0,0,343,2,2,4,1,27,0,0,1,3,1
no,1,6,1,0,2,0,0,0,362,3,3,4,4,52,0,0,2,2,1
no,1,6,3,1,0,0,0,0,368,1,5,4,4,38,0,0,1,3,1
no,1,12,1,1,0,0,0,0,385,2,4,4,3,58,0,0,4,2,1
no,1,15,3,0,0,0,1,0,392,2,2,4,4,23,0,0,1,3,1
no,3,12,4,1,0,0,0,0,409,5,3,3,3,42,0,0,2,3,1
no,2,6,5,1,0,0,0,0,426,2,5,4,4,39,0,0,1,2,1
no,2,6,3,1,0,0,0,0,428,2,5,2,1,49,1,0,1,3,1
no,1,6,3,0,0,1,0,0,454,2,2,3,1,22,0,0,1,2,1
no,1,9,3,1,0,0,0,0,458,2,3,4,3,24,0,0,1,3,1
no,3,6,3,1,0,0,0,0,484,2,4,3,3,28,1,0,1,2,1
no,2,6,3,1,0,0,0,0,518,2,3,3,1,29,0,0,1,3,1
no,2,12,1,1,0,0,0,0,522,4,5,4,4,42,0,0,2,3,2
no,3,21,1,0,2,0,0,0,571,2,5,4,4,65,0,0,2,3,1
no,3,12,2,1,0,0,0,0,585,2,3,4,4,20,0,0,2,3,1
no,1,6,3,1,0,0,0,0,590,2,2,3,3,26,0,0,1,2,1
no,1,4,3,1,0,0,0,0,601,2,2,1,3,23,0,0,1,2,2
no,2,6,1,0,2,0,0,0,609,2,4,4,3,37,0,0,2,3,1
no,2,12,1,1,0,0,0,0,618,2,5,4,4,56,0,0,1,3,1
no,2,12,3,1,0,0,0,0,625,2,2,4,1,26,1,0,1,2,1
no,3,18,1,1,0,0,0,0,629,4,5,4,3,32,1,0,2,4,1
no,1,12,3,0,2,0,0,0,640,2,3,4,2,49,0,0,1,2,1
no,3,12,3,1,0,0,0,0,652,2,5,4,4,24,0,0,1,3,1
no,2,6,3,0,0,1,0,0,660,4,4,2,4,23,0,0,1,2,1
